year,university,1_list,final_grade,since_2010,city,CCAA,covid_format_change,diff_1_list,diff_final_grade,diff_1_list_final_grade,latitude,longitude
2015,u. de salamanca,12.498,12.241,True,salamanca,Castilla y León,0.0,0.085,0.134,0.257,40.9666432,-5.6772757
2015,u. de valladolid,12.44,12.307,True,valladolid,Castilla y León,0.0,0.128,0.217,0.133,41.6105937,-4.6916619
2015,u. jaume i,12.574,12.32,True,castellon de la plana,C. Valenciana,0.0,0.152,0.202,0.254,39.9899483,-0.0664218
2015,u. de oviedo,12.618,12.342,True,oviedo,Asturias,0.0,-0.074,-0.066,0.276,43.3533657,-5.8687712
2015,u. de extremadura (badajoz),12.84,12.36,True,badajoz,Extremadura,0.0,0.158,0.054,0.48,38.8824069,-7.0194457
2015,u. autónoma de barcelona,12.394,12.364,True,barcelona,Cataluña,0.0,0.242,0.301,0.03,41.5025932,2.080056
2015,u. de zaragoza (campus zaragoza),12.547,12.404,True,zaragoza,Aragón,0.0,0.147,0.351,0.143,41.6421312,-0.90302271
2015,u. de c-la mancha (campus albacete),12.694,12.424,True,albacete,Castilla-La Mancha,0.0,0.134,0.234,0.27,38.4527362,-2.05363374
2015,u. de c-la mancha (campus c.real),12.678,12.433,True,ciudad real,Castilla-La Mancha,0.0,0.148,0.277,0.245,38.9918372,-3.9268263
2015,u. miguel hernández (s. juan de alicante),12.644,12.438,True,alicante,C. Valenciana,0.0,0.13,0.134,0.206,38.39896277,-0.43477806
2015,urjc - campus alcorcón,12.536,12.455,True,madrid,C. Madrid,0.0,0.154,0.17,0.081,40.3506324,-3.8437926
2015,u. de alcalá,12.543,12.472,True,alcalá,C. Madrid,0.0,0.121,0.096,0.071,40.4818396,-3.3644973
2015,u. de cádiz,12.719,12.482,True,cádiz,Andalucía,0.0,0.116,0.132,0.237,36.5340199,-6.3018987
2015,u. de valencia,12.774,12.514,True,valencia,C. Valenciana,0.0,0.118,0.158,0.26,39.4786642,-0.3627246
2015,u. de córdoba,12.736,12.569,True,córdoba,Andalucía,0.0,0.053,0.103,0.167,37.8560421,-4.8134452
2015,u. de la laguna,12.854,12.58,True,la laguna,Canarias,0.0,0.061,0.0,0.274,28.4852475,-16.3126059
2015,u. pompeu fabra (barcelona),12.632,12.598,True,barcelona,Cataluña,0.0,0.276,0.31,0.034,41.37921475,2.17941527
2015,u. de málaga,12.766,12.606,True,málaga,Andalucía,0.0,0.046,0.133,0.16,36.7200431,-4.41617939
2015,u. de barcelona-clínico,12.698,12.642,True,barcelona,Cataluña,0.0,0.238,0.248,0.056,41.39017434,2.15212588
2015,u. de sevilla,12.798,12.645,True,sevilla,Andalucía,0.0,0.145,0.205,0.153,37.4128557,-5.9845606
2015,u. autónoma de madrid,12.819,12.651,True,madrid,C. Madrid,0.0,0.167,0.093,0.168,40.4832261,-3.6972262
2015,u. de murcia,12.95,12.661,True,murcia,Murcia,0.0,0.096,0.272,0.289,37.99109245,-1.13010405
2015,u. de granada,12.947,12.669,True,granada,Andalucía,0.0,0.014,-0.028,0.278,37.1474408,-3.6042349
2015,u. complutense de madrid,12.697,12.697,True,madrid,C. Madrid,0.0,0.08,0.082,0.0,40.4437398,-3.72614639
2015,u. de las palmas,12.839,12.791,True,las palmas,Canarias,0.0,0.059,0.282,0.048,28.09055808,-15.41890014
2016,u. de lérida,12.305,12.124,True,lérida,Cataluña,0.0,0.039,0.023,0.181,41.81636125,1.59713745
2016,u. de las islas baleares,12.534,12.144,True,palma de mallorca,Islas Baleares,0.0,,,0.39,39.60701435,2.64475448
2016,u. de gerona,12.303,12.168,True,gerona,Cataluña,0.0,0.061,-0.014,0.135,41.9743792,2.8235429
